Name,classifier,dataset,k,n,Accuracy,Cohen_kappa,F1-Score,Jaccard,Precision,Recall
RF with n=82,randomforest,validation,,82,0.9013027820929247,0.2115674759789925,0.2544339245232698,0.14576012223071047,0.44064665127020786,0.17885264341957255
RF with n=82,randomforest,training,,82,0.9807289460057431,0.88078691240404,0.891315169415591,0.8039391762452107,0.9502547410133031,0.8392600462471096
RF with n=79,randomforest,validation,,79,0.9009497246151673,0.21163471190323324,0.25494622228123753,0.14609648455334043,0.4369594902139281,0.17997750281214847
RF with n=79,randomforest,training,,79,0.9807289460057431,0.8808080425023166,0.8913368061315903,0.8039743819955707,0.9500636582260574,0.8394475345290919
RF with n=76,randomforest,validation,,76,0.9010379889846067,0.21116773113882015,0.25432295823357276,0.14568729046022555,0.43772893772893773,0.1792275965504312
RF with n=76,randomforest,training,,76,0.9806818716753755,0.8806015383962613,0.8911580413088883,0.8036835496023441,0.9490185002118345,0.839947503281045
RF with n=73,randomforest,validation,,73,0.9009850303629431,0.21227505948174463,0.2556071665560717,0.14653073645769932,0.43752839618355294,0.18053993250843645
RF with n=73,randomforest,training,,73,0.9806995245492632,0.8806366484141405,0.8911817397651118,0.8037220992160852,0.9497913867477548,0.8393850384350978
RF with n=70,randomforest,validation,,70,0.9011086004801582,0.21155047716210695,0.25465673230441727,0.1459063881689282,0.4385884509624198,0.17941507311586052
RF with n=70,randomforest,training,,70,0.9806289130537118,0.8801787172086916,0.8907618794796921,0.8030393681943281,0.949557835160948,0.8388225735891507
RF with n=67,randomforest,validation,,67,0.9008261544979522,0.2123578752633769,0.2558940397350994,0.14671931956257594,0.4359205776173285,0.18110236220472442
RF with n=67,randomforest,training,,67,0.9806701030927835,0.8805217469529497,0.8910845131129604,0.8035639538360342,0.9490112994350283,0.8398225110930567
RF with n=64,randomforest,validation,,64,0.9011968648495975,0.21144344194594633,0.25442919941388037,0.14575702075702077,0.4394845835250805,0.17904011998500188
RF with n=64,randomforest,training,,64,0.9805465329755684,0.8796407023097087,0.8902681890600107,0.8022372435245558,0.9493169108798755,0.8381351165552153
RF with n=61,randomforest,validation,,61,0.9008438073718401,0.2122291366394542,0.2557307539419637,0.14661197204497114,0.4360596475372797,0.1809148856392951
RF with n=61,randomforest,training,,61,0.9805818387233441,0.880008065652908,0.8906198210142526,0.8028084852106364,0.9481967675912203,0.8396350228110743
RF with n=58,randomforest,validation,,58,0.900720237254625,0.21043847813049743,0.2539135049084638,0.14541862938763106,0.4342105263157895,0.17941507311586052
RF with n=58,randomforest,training,,58,0.9804170785670574,0.8789184801518768,0.8896185737976782,0.8011828663599976,0.947840836808255,0.8381351165552153
RF with n=55,randomforest,validation,,55,0.9004201383985313,0.21191342477771857,0.2559029151826936,0.1467251550446226,0.43168669336893634,0.1818522684664417
RF with n=55,randomforest,training,,55,0.9804935743539048,0.8794875454431075,0.890148126056268,0.802042278753135,0.947446388261851,0.8393850384350978
RF with n=52,randomforest,validation,,52,0.9004377912724192,0.2087332173628288,0.25238600212089074,0.14441747572815533,0.4307692307692308,0.1784776902887139
RF with n=52,randomforest,training,,52,0.9803288141976181,0.8784050580370714,0.8891541496733978,0.8004298250850695,0.9470264161604747,0.8379476282732329
RF with n=49,randomforest,validation,,49,0.9000141222991103,0.20950692337065846,0.2537549407114625,0.1453146220009054,0.42686170212765956,0.18053993250843645
RF with n=49,randomforest,training,,49,0.9803935414018735,0.8788731070622892,0.8895884419113262,0.801133989853775,0.9468152641602596,0.8388850696831448
RF with n=46,randomforest,validation,,46,0.9004730970201948,0.20738915499176147,0.2508636726016476,0.14342145244606502,0.4306569343065693,0.17697787776527935
RF with n=46,randomforest,training,,46,0.9800875582544838,0.8769319320838189,0.8878132873624188,0.7982592106832002,0.9454211678316741,0.8368226985813386
RF with n=43,randomforest,validation,,43,0.900049428046886,0.20888987040553475,0.25303430079155675,0.14484216885666817,0.4269813000890472,0.17979002624671916
RF with n=43,randomforest,training,,43,0.9802228969542909,0.877872935603419,0.8886828072732091,0.79966620969184,0.9453213077790305,0.8384475970251859
RF with n=40,randomforest,validation,,40,0.9003142211552041,0.20729980516834423,0.2509616660034487,0.14348551494008796,0.4290249433106576,0.177352830896138
RF with n=40,randomforest,training,,40,0.9798109965635738,0.8751231239365156,0.886153233566712,0.7955791229742613,0.9446095076400679,0.834510343103556
RF with n=37,randomforest,validation,,37,0.8999611636774467,0.2088193514754081,0.2530644523527086,0.1448619284744228,0.42609853528628494,0.17997750281214847
RF with n=37,randomforest,training,,37,0.9798580708939415,0.8753848451988319,0.8863885293239071,0.795958512160229,0.9451443941109853,0.834510343103556
RF with n=34,randomforest,validation,,34,0.9005966671374099,0.20828289889567653,0.2516943521594684,0.14396473092125267,0.43222272934732997,0.1775403074615673
RF with n=34,randomforest,training,,34,0.9792343360165702,0.8712519666687056,0.8825897461489837,0.78985291490502,0.9436539556061468,0.8289481907380789
RF with n=31,randomforest,validation,,31,0.8998905521818952,0.20951499328149714,0.25391395868964606,0.1454189270644967,0.42567269519188355,0.1809148856392951
RF with n=31,randomforest,training,,31,0.9795050134161841,0.8732604525444829,0.8844584508210316,0.7928511954323778,0.9425197963800905,0.8331354290356853
RF with n=28,randomforest,validation,,28,0.9002612625335404,0.20660748177990318,0.2502653927813163,0.14303048688002426,0.4282470481380563,0.17679040119985
RF with n=28,randomforest,training,,28,0.978445840982912,0.8661174550714537,0.877879646607768,0.7823400083189732,0.9408317850507361,0.8228235735266546
RF with n=25,randomforest,validation,,25,0.8994668832085864,0.20849794092911,0.2533106070538875,0.1450232697793124,0.42128216310510247,0.18110236220472442
RF with n=25,randomforest,training,,25,0.9787518241303017,0.8681275978513283,0.8797255437497918,0.7852768032348219,0.9418057338468121,0.8253234172864196
RF with n=22,randomforest,validation,,22,0.8997669820646801,0.20358337108162272,0.24754836999734958,0.1412583182093164,0.42224231464737794,0.17510311211098611
RF with n=22,randomforest,training,,22,0.9771277597326178,0.8570737343362846,0.8695331118047864,0.7691805225653207,0.9391676334106729,0.8095119055059059
RF with n=19,randomforest,validation,,19,0.8987784211269595,0.20710270400888275,0.25260688216892596,0.14456213635685514,0.4144568006843456,0.18166479190101237
RF with n=19,randomforest,training,,19,0.9776749988231418,0.8611522817644859,0.8733306623931624,0.7751437207372726,0.9374955200344062,0.8173864133491657
RF with n=16,randomforest,validation,,16,0.8997669820646801,0.2023119469792498,0.24614976101964953,0.14034822104466313,0.42174704276615105,0.17379077615298089
RF with n=16,randomforest,training,,16,0.975074142070329,0.8428667723954619,0.856406779661017,0.7488736068294997,0.9357730202237203,0.7894506593337917
RF with n=13,randomforest,validation,,13,0.897754554441463,0.21216940863211176,0.25933503836317134,0.14898618865706728,0.40788415124698313,0.19010123734533182
RF with n=13,randomforest,training,,13,0.9759509014734266,0.8493780118298337,0.8624692936702897,0.7581942965329547,0.934310294546515,0.8008874445347166
RF with n=10,randomforest,validation,,10,0.8984783222708657,0.19963149051501017,0.24478003939592907,0.13945832709860842,0.4085927224901359,0.17472815898012747
RF with n=10,randomforest,training,,10,0.9707550722590971,0.8118897502731892,0.8276579513142381,0.7059867486985328,0.9296564617901378,0.7458283857258922
knn with k=10,knn,validation,10,,0.9056100833215648,0.11843110704210813,0.14242181234963913,0.07667069590744258,0.49278579356270813,0.08323959505061868
knn with k=10,knn,training,10,,0.911770936308431,0.17980595240248232,0.2028708133971292,0.11288604898828541,0.6792452830188679,0.1192425473407912
knn with k=9,knn,validation,9,,0.9024149131478605,0.14392311498708998,0.17713605239654662,0.09717458762044749,0.42991329479768786,0.1115485564304462
knn with k=9,knn,training,9,,0.9124711669726498,0.23511781997151382,0.26532325776658267,0.15295256534365925,0.6325953838907207,0.16786450846822074
knn with k=8,knn,validation,8,,0.9050098856093772,0.12291958652377599,0.14871064704951747,0.0803281490343531,0.47619047619047616,0.08811398575178103
knn with k=8,knn,training,8,,0.9130007531892859,0.20099457196483805,0.22530783337699764,0.12695600826690287,0.6971465629053177,0.13436660208736953
knn with k=7,knn,validation,7,,0.9013910464623641,0.16252173730589292,0.1997134670487106,0.11093426706987108,0.42345078979343864,0.13067116610423696
knn with k=7,knn,training,7,,0.9148189991997364,0.28064482840384564,0.3132827324478179,0.18573517831027112,0.650127977948415,0.20636210236860197
knn with k=6,knn,validation,6,,0.9046744810055077,0.1336908340161117,0.16175100900341507,0.08799189326127344,0.47021660649819497,0.09767529058867641
knn with k=6,knn,training,6,,0.9153309325424845,0.2347480248013466,0.2603197450264741,0.14963654630340997,0.7334878331402086,0.15824010999312543
knn with k=5,knn,validation,5,,0.8978251659370146,0.18012698693012708,0.22412868632707778,0.12620772946859904,0.3932267168391345,0.15673040869891264
knn with k=5,knn,training,5,,0.91837899543379,0.3483734131820063,0.3838670990094612,0.23752198768689534,0.663544226044226,0.2700456221486157
knn with k=4,knn,validation,4,,0.9035800028244598,0.14206583483718627,0.17317590069633665,0.09479615512098111,0.449685534591195,0.1072365954255718
knn with k=4,knn,training,4,,0.9191321847196724,0.28593474765358184,0.3128156407820391,0.18540691126785608,0.7823911955977989,0.19548778201362416
knn with k=3,knn,validation,3,,0.891434825589606,0.20256423022873615,0.2558083252662149,0.1466629665602886,0.3607508532423208,0.19816272965879264
knn with k=3,knn,training,3,,0.9274761097773384,0.4716495995953863,0.507531865585168,0.34006211180124224,0.7036339463771327,0.3969126929566902
knn with k=2,knn,validation,2,,0.9016028809490185,0.14624324691814083,0.1810167499265354,0.09951534733441034,0.41847826086956524,0.11548556430446194
knn with k=2,knn,training,2,,0.9286765052017135,0.3799908872388611,0.405045894075492,0.2539545762294578,0.9437328453796889,0.25785888381976124
knn with k=1,knn,validation,1,,0.8622546250529586,0.19408522052439148,0.2701337573660088,0.15615875419054828,0.26955385476946053,0.27071616047994
knn with k=1,knn,training,1,,0.976168620251377,0.8593142653058983,0.8724570132896643,0.7737682940453581,0.8793245730971878,0.8656958940066246
